Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2023-10-21T15:48:14,M/s   MEHTA TEA PRIVATE LIMITED,MEHTA TEA PRIVATE LIMITED,544846080,2023102106544846080,Brand Owner,In Progress
2023-10-25T11:20:01,M/s   BHARAT WIRE ROPES LIMITED,BHARAT WIRE ROPES LIMITED,544846209,2023102506544846209,Brand Owner,In Progress
2023-10-25T13:38:09,M/s   REAL DAIRY INDUSTRIES PRIVATE LIMITED,REAL DAIRY INDUSTRIES PRIVATE LIMITED,544846233,2023102506544846233,Brand Owner,In Progress
2023-10-26T11:51:08,M/s   VIVEK AGRO FOODS,Vivek Agro Foods,544846416,2023102606544846416,Brand Owner,In Progress
2023-10-27T12:54:34,M/s   SHREE KRISHNAKESHAV LABORATORIES LIMITED,SHREE KRISHNAKESHAV LABORATORIES LIMITED,544846471,2023102706544846471,Brand Owner,In Progress
2023-10-27T18:12:01,M/s   FORTUNE DAIRY INDUSTRIES PRIVATE LIMITED,FORTUNE DAIRY INDUSTRIES PRIVATE LIMITED,544846553,2023102706544846553,Brand Owner,In Progress
2023-10-30T16:49:25,M/s   GENO PHARMACEUTICALS PRIVATE LIMITED,GENO PHARMACEUTICALS PRIVATE LIMITED,544846829,2023103006544846829,Brand Owner,In Progress
2023-11-02T13:42:31,Shri MADANLAL RINKESH JARIWALA,SUNFLOWER ENTERPRISE,544847082,2023110206544847082,Brand Owner,In Progress
2023-11-04T12:13:53,M/s   INDOCO REMEDIES LIMITED,INDOCO REMEDIES LIMITED,544847261,2023110406544847261,Brand Owner,In Progress
2023-11-06T14:59:29,M/s   EMPIRE INDUSTRIES LTD,EMPIRE INDUSTRIES LIMITED,544847373,2023110606544847373,Brand Owner,In Progress
2023-11-07T15:13:01,M/s   CHEM-TREND CHEMICALS COMPANY PRIVATE LIMITED,CHEM-TREND CHEMICALS COMPANY PRIVATE LIMITED,544847482,2023110706544847482,Brand Owner,In Progress
2023-11-11T10:33:46,M/s   KINVAN PRIVATE LIMITED,KINVAN PRIVATE LIMITED,544847758,2023111106544847758,Brand Owner,In Progress
2023-11-17T10:42:53,M/s   THE INDIAN STEEL AND WIRE PRODUCTS LIMITED,THE INDIAN STEEL & WIRE PRODUCTS LTD,544847987,2023111706544847987,Brand Owner,In Progress
2023-11-29T18:40:49,M/s   JAYA INDUSTRIES PRIVATE LIMITED,JAYA INDUSTRIES PRIVATE LIMITED,544848327,2023112906544848327,Brand Owner,In Progress
